"safegraph_brand_id","brand_name","parent_safegraph_brand_id","naics_code","top_category","sub_category","stock_symbol","stock_exchange","iso_country_codes_open","iso_country_codes_closed"
"SG_BRAND_031a86b036bad01a966b3d7a5e8470e4","National Glass Association (NGA)","","238150","Foundation, Structure, and Building Exterior Contractors","Glass and Glazing Contractors","","","[]","[]"
"SG_BRAND_0344bb9dde89cf13","Carphone Warehouse","","517312","Wired and Wireless Telecommunications Carriers","Wireless Telecommunications Carriers (except Satellite)","","","[GB,IE]","[GB,IE]"
"SG_BRAND_03450f9b45862984","Sam's Xpress Car Wash","","811192","Automotive Repair and Maintenance","Car Washes","","","[US]","[]"
"SG_BRAND_034735fee3a5a0335e0a799672670bf6","Sapp Bros","","424720","Petroleum and Petroleum Products Merchant Wholesalers","Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)","","","[US]","[US]"
"SG_BRAND_034a03e89ce1f7b0","Hotel du Vin & Bistro","","721110","Traveler Accommodation","Hotels (except Casino Hotels) and Motels","","","[GB]","[]"
"SG_BRAND_03545c6f2f5f740c","Baystate Health","","621111","Offices of Physicians","Offices of Physicians (except Mental Health Specialists)","","","[US]","[US]"
"SG_BRAND_0355fa435a191f7e087cc2614782be13","Redner's Markets","","445110","Grocery Stores","Supermarkets and Other Grocery (except Convenience) Stores","","","[US]","[]"
"SG_BRAND_035f8d6cd1534bcf","Weber Logistics","","493110","Warehousing and Storage","General Warehousing and Storage","","","[US]","[US]"
"SG_BRAND_0360b31f1dbd135a","TidalHealth Nanticoke Health Services","","621111","Offices of Physicians","Offices of Physicians (except Mental Health Specialists)","","","[US]","[]"
"SG_BRAND_03619c9c1267a05a7eec9c29d569e68d","Drug Emporium West Virginia","","446110","Health and Personal Care Stores","Pharmacies and Drug Stores","","","[US]","[]"
"SG_BRAND_0363e0dca04ea9bb","Rúmfatalagerinn (The Bedding Store)","","442110","Furniture Stores","Furniture Stores","","","[IS]","[]"
"SG_BRAND_037307e7be2a963dbeb6e7c1eafff895","Clarkson Eyecare","","621320","Offices of Other Health Practitioners","Offices of Optometrists","","","[US]","[US]"
"SG_BRAND_03978926c52ae9b5","Bay State Physical Therapy","","621340","Offices of Other Health Practitioners","Offices of Physical, Occupational and Speech Therapists, and Audiologists","","","[US]","[]"
