"placekey","parent_placekey","safegraph_brand_ids","location_name","brands","store_id","top_category","sub_category","naics_code","latitude","longitude","street_address","city","region","postal_code","open_hours","category_tags","opened_on","closed_on","tracking_closed_since","websites","geometry_type","polygon_wkt","polygon_class","enclosed","phone_number","is_synthetic","includes_parking","iso_country_code","wkt_area_sq_meters","date_range_start","date_range_end","raw_visit_counts","raw_visitor_counts","visits_by_day","visits_by_each_hour","poi_cbg","visitor_home_cbgs","visitor_home_aggregation","visitor_daytime_cbgs","visitor_country_of_origin","distance_from_home","median_dwell","bucketed_dwell_times","related_same_day_brand","related_same_week_brand","device_type","normalized_visits_by_state_scaling","normalized_visits_by_region_naics_visits","normalized_visits_by_region_naics_visitors","normalized_visits_by_total_visits","normalized_visits_by_total_visitors"
"222-222@39p-8k2-mtv","","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","United States Postal Service (USPS)","1368654","Postal Service","Postal Service","491110","64.324568","-158.723724","100 6th Ave","Kaltag","AK","99748","{ ""Mon"": [[""9:00"", ""12:00""]], ""Tue"": [[""9:00"", ""12:00""]], ""Wed"": [[""9:00"", ""12:00""]], ""Thu"": [[""9:00"", ""12:00""]], ""Fri"": [[""9:00"", ""12:00""]], ""Sat"": [], ""Sun"": [] }","","","","2019-07-01 00:00:00.000","usps.com","POLYGON","POLYGON ((-158.72389733785212 64.32476468480549, -158.7234950064999 64.32476236056627, -158.7234950064999 64.3247065787661, -158.723334073959 64.3247135514973, -158.72328579419673 64.32450901731526, -158.72340381139338 64.32449972027088, -158.7234091758114 64.32441139819295, -158.72400462621272 64.32440442538527, -158.7239831685406 64.32449739600929, -158.72416019433558 64.32450204453228, -158.72413873666346 64.3246275543558, -158.72410118573725 64.3246275543558, -158.72408509248316 64.32472052422672, -158.72387588018 64.32471587574064, -158.72389733785212 64.32476468480549))","OWNED_POLYGON","false","19075342210","false","","US","1338","2019-01-07 00:00:00.000","2019-01-14 00:00:00.000","","","","","022900003003","","","","","","","","","","","","","","",""
"222-222@39p-8k2-mtv","","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","United States Postal Service (USPS)","1368654","Postal Service","Postal Service","491110","64.324568","-158.723724","100 6th Ave","Kaltag","AK","99748","{ ""Mon"": [[""9:00"", ""12:00""]], ""Tue"": [[""9:00"", ""12:00""]], ""Wed"": [[""9:00"", ""12:00""]], ""Thu"": [[""9:00"", ""12:00""]], ""Fri"": [[""9:00"", ""12:00""]], ""Sat"": [], ""Sun"": [] }","","","","2019-07-01 00:00:00.000","usps.com","POLYGON","POLYGON ((-158.72389733785212 64.32476468480549, -158.7234950064999 64.32476236056627, -158.7234950064999 64.3247065787661, -158.723334073959 64.3247135514973, -158.72328579419673 64.32450901731526, -158.72340381139338 64.32449972027088, -158.7234091758114 64.32441139819295, -158.72400462621272 64.32440442538527, -158.7239831685406 64.32449739600929, -158.72416019433558 64.32450204453228, -158.72413873666346 64.3246275543558, -158.72410118573725 64.3246275543558, -158.72408509248316 64.32472052422672, -158.72387588018 64.32471587574064, -158.72389733785212 64.32476468480549))","OWNED_POLYGON","false","19075342210","false","","US","1338","2019-01-14 00:00:00.000","2019-01-21 00:00:00.000","","","","","022900003003","","","","","","","","","","","","","","",""
"222-222@39p-8k2-mtv","","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","United States Postal Service (USPS)","1368654","Postal Service","Postal Service","491110","64.324568","-158.723724","100 6th Ave","Kaltag","AK","99748","{ ""Mon"": [[""9:00"", ""12:00""]], ""Tue"": [[""9:00"", ""12:00""]], ""Wed"": [[""9:00"", ""12:00""]], ""Thu"": [[""9:00"", ""12:00""]], ""Fri"": [[""9:00"", ""12:00""]], ""Sat"": [], ""Sun"": [] }","","","","2019-07-01 00:00:00.000","usps.com","POLYGON","POLYGON ((-158.72389733785212 64.32476468480549, -158.7234950064999 64.32476236056627, -158.7234950064999 64.3247065787661, -158.723334073959 64.3247135514973, -158.72328579419673 64.32450901731526, -158.72340381139338 64.32449972027088, -158.7234091758114 64.32441139819295, -158.72400462621272 64.32440442538527, -158.7239831685406 64.32449739600929, -158.72416019433558 64.32450204453228, -158.72413873666346 64.3246275543558, -158.72410118573725 64.3246275543558, -158.72408509248316 64.32472052422672, -158.72387588018 64.32471587574064, -158.72389733785212 64.32476468480549))","OWNED_POLYGON","false","19075342210","false","","US","1338","2019-01-21 00:00:00.000","2019-01-28 00:00:00.000","","","","","022900003003","","","","","","","","","","","","","","",""
"222-222@39p-8k2-mtv","","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","United States Postal Service (USPS)","1368654","Postal Service","Postal Service","491110","64.324568","-158.723724","100 6th Ave","Kaltag","AK","99748","{ ""Mon"": [[""9:00"", ""12:00""]], ""Tue"": [[""9:00"", ""12:00""]], ""Wed"": [[""9:00"", ""12:00""]], ""Thu"": [[""9:00"", ""12:00""]], ""Fri"": [[""9:00"", ""12:00""]], ""Sat"": [], ""Sun"": [] }","","","","2019-07-01 00:00:00.000","usps.com","POLYGON","POLYGON ((-158.72389733785212 64.32476468480549, -158.7234950064999 64.32476236056627, -158.7234950064999 64.3247065787661, -158.723334073959 64.3247135514973, -158.72328579419673 64.32450901731526, -158.72340381139338 64.32449972027088, -158.7234091758114 64.32441139819295, -158.72400462621272 64.32440442538527, -158.7239831685406 64.32449739600929, -158.72416019433558 64.32450204453228, -158.72413873666346 64.3246275543558, -158.72410118573725 64.3246275543558, -158.72408509248316 64.32472052422672, -158.72387588018 64.32471587574064, -158.72389733785212 64.32476468480549))","OWNED_POLYGON","false","19075342210","false","","US","1338","2019-01-28 00:00:00.000","2019-02-04 00:00:00.000","","","","","022900003003","","","","","","","","","","","","","","",""
"222-222@39p-8k2-mtv","","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","United States Postal Service (USPS)","1368654","Postal Service","Postal Service","491110","64.324568","-158.723724","100 6th Ave","Kaltag","AK","99748","{ ""Mon"": [[""9:00"", ""12:00""]], ""Tue"": [[""9:00"", ""12:00""]], ""Wed"": [[""9:00"", ""12:00""]], ""Thu"": [[""9:00"", ""12:00""]], ""Fri"": [[""9:00"", ""12:00""]], ""Sat"": [], ""Sun"": [] }","","","","2019-07-01 00:00:00.000","usps.com","POLYGON","POLYGON ((-158.72389733785212 64.32476468480549, -158.7234950064999 64.32476236056627, -158.7234950064999 64.3247065787661, -158.723334073959 64.3247135514973, -158.72328579419673 64.32450901731526, -158.72340381139338 64.32449972027088, -158.7234091758114 64.32441139819295, -158.72400462621272 64.32440442538527, -158.7239831685406 64.32449739600929, -158.72416019433558 64.32450204453228, -158.72413873666346 64.3246275543558, -158.72410118573725 64.3246275543558, -158.72408509248316 64.32472052422672, -158.72387588018 64.32471587574064, -158.72389733785212 64.32476468480549))","OWNED_POLYGON","false","19075342210","false","","US","1338","2019-02-04 00:00:00.000","2019-02-11 00:00:00.000","","","","","022900003003","","","","","","","","","","","","","","",""
"222-222@39p-8k2-mtv","","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","United States Postal Service (USPS)","1368654","Postal Service","Postal Service","491110","64.324568","-158.723724","100 6th Ave","Kaltag","AK","99748","{ ""Mon"": [[""9:00"", ""12:00""]], ""Tue"": [[""9:00"", ""12:00""]], ""Wed"": [[""9:00"", ""12:00""]], ""Thu"": [[""9:00"", ""12:00""]], ""Fri"": [[""9:00"", ""12:00""]], ""Sat"": [], ""Sun"": [] }","","","","2019-07-01 00:00:00.000","usps.com","POLYGON","POLYGON ((-158.72389733785212 64.32476468480549, -158.7234950064999 64.32476236056627, -158.7234950064999 64.3247065787661, -158.723334073959 64.3247135514973, -158.72328579419673 64.32450901731526, -158.72340381139338 64.32449972027088, -158.7234091758114 64.32441139819295, -158.72400462621272 64.32440442538527, -158.7239831685406 64.32449739600929, -158.72416019433558 64.32450204453228, -158.72413873666346 64.3246275543558, -158.72410118573725 64.3246275543558, -158.72408509248316 64.32472052422672, -158.72387588018 64.32471587574064, -158.72389733785212 64.32476468480549))","OWNED_POLYGON","false","19075342210","false","","US","1338","2019-02-11 00:00:00.000","2019-02-18 00:00:00.000","","","","","022900003003","","","","","","","","","","","","","","",""
"222-222@39p-8k2-mtv","","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","United States Postal Service (USPS)","1368654","Postal Service","Postal Service","491110","64.324568","-158.723724","100 6th Ave","Kaltag","AK","99748","{ ""Mon"": [[""9:00"", ""12:00""]], ""Tue"": [[""9:00"", ""12:00""]], ""Wed"": [[""9:00"", ""12:00""]], ""Thu"": [[""9:00"", ""12:00""]], ""Fri"": [[""9:00"", ""12:00""]], ""Sat"": [], ""Sun"": [] }","","","","2019-07-01 00:00:00.000","usps.com","POLYGON","POLYGON ((-158.72389733785212 64.32476468480549, -158.7234950064999 64.32476236056627, -158.7234950064999 64.3247065787661, -158.723334073959 64.3247135514973, -158.72328579419673 64.32450901731526, -158.72340381139338 64.32449972027088, -158.7234091758114 64.32441139819295, -158.72400462621272 64.32440442538527, -158.7239831685406 64.32449739600929, -158.72416019433558 64.32450204453228, -158.72413873666346 64.3246275543558, -158.72410118573725 64.3246275543558, -158.72408509248316 64.32472052422672, -158.72387588018 64.32471587574064, -158.72389733785212 64.32476468480549))","OWNED_POLYGON","false","19075342210","false","","US","1338","2019-02-18 00:00:00.000","2019-02-25 00:00:00.000","","","","","022900003003","","","","","","","","","","","","","","",""
"222-222@39p-8k2-mtv","","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","United States Postal Service (USPS)","1368654","Postal Service","Postal Service","491110","64.324568","-158.723724","100 6th Ave","Kaltag","AK","99748","{ ""Mon"": [[""9:00"", ""12:00""]], ""Tue"": [[""9:00"", ""12:00""]], ""Wed"": [[""9:00"", ""12:00""]], ""Thu"": [[""9:00"", ""12:00""]], ""Fri"": [[""9:00"", ""12:00""]], ""Sat"": [], ""Sun"": [] }","","","","2019-07-01 00:00:00.000","usps.com","POLYGON","POLYGON ((-158.72389733785212 64.32476468480549, -158.7234950064999 64.32476236056627, -158.7234950064999 64.3247065787661, -158.723334073959 64.3247135514973, -158.72328579419673 64.32450901731526, -158.72340381139338 64.32449972027088, -158.7234091758114 64.32441139819295, -158.72400462621272 64.32440442538527, -158.7239831685406 64.32449739600929, -158.72416019433558 64.32450204453228, -158.72413873666346 64.3246275543558, -158.72410118573725 64.3246275543558, -158.72408509248316 64.32472052422672, -158.72387588018 64.32471587574064, -158.72389733785212 64.32476468480549))","OWNED_POLYGON","false","19075342210","false","","US","1338","2019-02-25 00:00:00.000","2019-03-04 00:00:00.000","","","","","022900003003","","","","","","","","","","","","","","",""
"222-222@39p-8k2-mtv","","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","United States Postal Service (USPS)","1368654","Postal Service","Postal Service","491110","64.324568","-158.723724","100 6th Ave","Kaltag","AK","99748","{ ""Mon"": [[""9:00"", ""12:00""]], ""Tue"": [[""9:00"", ""12:00""]], ""Wed"": [[""9:00"", ""12:00""]], ""Thu"": [[""9:00"", ""12:00""]], ""Fri"": [[""9:00"", ""12:00""]], ""Sat"": [], ""Sun"": [] }","","","","2019-07-01 00:00:00.000","usps.com","POLYGON","POLYGON ((-158.72389733785212 64.32476468480549, -158.7234950064999 64.32476236056627, -158.7234950064999 64.3247065787661, -158.723334073959 64.3247135514973, -158.72328579419673 64.32450901731526, -158.72340381139338 64.32449972027088, -158.7234091758114 64.32441139819295, -158.72400462621272 64.32440442538527, -158.7239831685406 64.32449739600929, -158.72416019433558 64.32450204453228, -158.72413873666346 64.3246275543558, -158.72410118573725 64.3246275543558, -158.72408509248316 64.32472052422672, -158.72387588018 64.32471587574064, -158.72389733785212 64.32476468480549))","OWNED_POLYGON","false","19075342210","false","","US","1338","2019-03-04 00:00:00.000","2019-03-11 00:00:00.000","","","","","022900003003","","","","","","","","","","","","","","",""
"222-222@39p-8k2-mtv","","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","United States Postal Service (USPS)","1368654","Postal Service","Postal Service","491110","64.324568","-158.723724","100 6th Ave","Kaltag","AK","99748","{ ""Mon"": [[""9:00"", ""12:00""]], ""Tue"": [[""9:00"", ""12:00""]], ""Wed"": [[""9:00"", ""12:00""]], ""Thu"": [[""9:00"", ""12:00""]], ""Fri"": [[""9:00"", ""12:00""]], ""Sat"": [], ""Sun"": [] }","","","","2019-07-01 00:00:00.000","usps.com","POLYGON","POLYGON ((-158.72389733785212 64.32476468480549, -158.7234950064999 64.32476236056627, -158.7234950064999 64.3247065787661, -158.723334073959 64.3247135514973, -158.72328579419673 64.32450901731526, -158.72340381139338 64.32449972027088, -158.7234091758114 64.32441139819295, -158.72400462621272 64.32440442538527, -158.7239831685406 64.32449739600929, -158.72416019433558 64.32450204453228, -158.72413873666346 64.3246275543558, -158.72410118573725 64.3246275543558, -158.72408509248316 64.32472052422672, -158.72387588018 64.32471587574064, -158.72389733785212 64.32476468480549))","OWNED_POLYGON","false","19075342210","false","","US","1338","2019-03-11 00:00:00.000","2019-03-18 00:00:00.000","","","","","022900003003","","","","","","","","","","","","","","",""
"222-222@39p-8k2-mtv","","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","United States Postal Service (USPS)","1368654","Postal Service","Postal Service","491110","64.324568","-158.723724","100 6th Ave","Kaltag","AK","99748","{ ""Mon"": [[""9:00"", ""12:00""]], ""Tue"": [[""9:00"", ""12:00""]], ""Wed"": [[""9:00"", ""12:00""]], ""Thu"": [[""9:00"", ""12:00""]], ""Fri"": [[""9:00"", ""12:00""]], ""Sat"": [], ""Sun"": [] }","","","","2019-07-01 00:00:00.000","usps.com","POLYGON","POLYGON ((-158.72389733785212 64.32476468480549, -158.7234950064999 64.32476236056627, -158.7234950064999 64.3247065787661, -158.723334073959 64.3247135514973, -158.72328579419673 64.32450901731526, -158.72340381139338 64.32449972027088, -158.7234091758114 64.32441139819295, -158.72400462621272 64.32440442538527, -158.7239831685406 64.32449739600929, -158.72416019433558 64.32450204453228, -158.72413873666346 64.3246275543558, -158.72410118573725 64.3246275543558, -158.72408509248316 64.32472052422672, -158.72387588018 64.32471587574064, -158.72389733785212 64.32476468480549))","OWNED_POLYGON","false","19075342210","false","","US","1338","2019-03-18 00:00:00.000","2019-03-25 00:00:00.000","","","","","022900003003","","","","","","","","","","","","","","",""
"222-222@39p-8k2-mtv","","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","United States Postal Service (USPS)","1368654","Postal Service","Postal Service","491110","64.324568","-158.723724","100 6th Ave","Kaltag","AK","99748","{ ""Mon"": [[""9:00"", ""12:00""]], ""Tue"": [[""9:00"", ""12:00""]], ""Wed"": [[""9:00"", ""12:00""]], ""Thu"": [[""9:00"", ""12:00""]], ""Fri"": [[""9:00"", ""12:00""]], ""Sat"": [], ""Sun"": [] }","","","","2019-07-01 00:00:00.000","usps.com","POLYGON","POLYGON ((-158.72389733785212 64.32476468480549, -158.7234950064999 64.32476236056627, -158.7234950064999 64.3247065787661, -158.723334073959 64.3247135514973, -158.72328579419673 64.32450901731526, -158.72340381139338 64.32449972027088, -158.7234091758114 64.32441139819295, -158.72400462621272 64.32440442538527, -158.7239831685406 64.32449739600929, -158.72416019433558 64.32450204453228, -158.72413873666346 64.3246275543558, -158.72410118573725 64.3246275543558, -158.72408509248316 64.32472052422672, -158.72387588018 64.32471587574064, -158.72389733785212 64.32476468480549))","OWNED_POLYGON","false","19075342210","false","","US","1338","2019-03-25 00:00:00.000","2019-04-01 00:00:00.000","","","","","022900003003","","","","","","","","","","","","","","",""
