"placekey","parent_placekey","safegraph_brand_ids","location_name","brands","store_id","top_category","sub_category","naics_code","latitude","longitude","street_address","city","region","postal_code","open_hours","category_tags","opened_on","closed_on","tracking_closed_on","geometry_type","polygon_wkt","polygon_class","enclosed","phone_number","is_synthetic","includes_parking_lot","iso_country_code","wkt_area_sq_meters","domains","website"
"222-222@3b6-d79-8gk","","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","United States Postal Service (USPS)","1381562","Postal Service","Postal Service","491110","66.255077","-166.07073","123 Main St","Shishmaref","AK","99772","{ ""Mon"": [[""9:00"", ""13:00""]], ""Tue"": [[""9:00"", ""13:00""]], ""Wed"": [[""9:00"", ""13:00""]], ""Thu"": [[""9:00"", ""13:00""]], ""Fri"": [[""9:00"", ""13:00""]], ""Sat"": [], ""Sun"": [] }","","","","","POLYGON","POLYGON ((-166.07090560816022 66.25516147151063, -166.0706159295866 66.25517767194995, -166.07055155657025 66.25499298632445, -166.0708465995619 66.25497786580397, -166.07090560816022 66.25516147151063))","OWNED_POLYGON","false","19076493931","false","false","US","275","[""usps.com""]","https://tools.usps.com/find-location.htm?location=1381562"
"222-222@3b6-rck-2rk","","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","United States Postal Service (USPS)","1375143","Postal Service","Postal Service","491110","67.570681","-162.969062","9998 Noatak Rd","Noatak","AK","99761","{ ""Mon"": [[""9:30"", ""13:00""]], ""Tue"": [[""9:30"", ""13:00""]], ""Wed"": [[""9:30"", ""13:00""]], ""Thu"": [[""9:30"", ""13:00""]], ""Fri"": [[""9:30"", ""13:00""]], ""Sat"": [], ""Sun"": [] }","","","","","POLYGON","POLYGON ((-162.96922772705895 67.57061839887776, -162.96930079475703 67.57070681361807, -162.9689050701685 67.57075442175308, -162.96883200247044 67.57066600719075, -162.96922772705895 67.57061839887776))","OWNED_POLYGON","false","19074852122","false","false","US","183","[""usps.com""]","https://tools.usps.com/find-location.htm?location=1375143"
"222-222@3b7-33y-3qz","","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","United States Postal Service (USPS)","1381167","Postal Service","Postal Service","491110","66.598666","-160.009634","78 Selawik Rd","Selawik","AK","99770","{ ""Mon"": [[""9:30"", ""12:00""], [""13:00"", ""16:30""]], ""Tue"": [[""9:30"", ""12:00""], [""13:00"", ""16:30""]], ""Wed"": [[""9:30"", ""12:00""], [""13:00"", ""16:30""]], ""Thu"": [[""9:30"", ""12:00""], [""13:00"", ""16:30""]], ""Fri"": [[""9:30"", ""12:00""], [""13:00"", ""16:30""]], ""Sat"": [], ""Sun"": [] }","","","","","POLYGON","POLYGON ((-160.009781502687 66.5987144571715, -160.009445202409 66.5986788390469, -160.009485969838 66.5986181206185, -160.009822270116 66.5986537388303, -160.009781502687 66.5987144571715))","OWNED_POLYGON","false","19074842141","false","false","US","108","[""usps.com""]","https://tools.usps.com/find-location.htm?location=1381167"
"222-222@3bb-tyf-9cq","","","ChargePoint Network Charging Station","","236565","Gasoline Stations","Other Gasoline Stations","447190","60.128304","-149.433868","2001 Seward Hwy","Seward","AK","99664","{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }","Fuel","","","","POINT","","","","","","","US","","[]",""
"222-222@3bb-tyn-6ff","","","Kenai Backcountry Adventures","","","Consumer Goods Rental","Recreational Goods Rental","532284","60.150748","-149.418635","11724 Seward Hwy","Seward","AK","99664","{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [[""10:00"", ""14:00""]], ""Sun"": [] }","","","","","POLYGON","POLYGON ((-149.41881928369483 60.1508270399177, -149.41858278938363 60.15087169978762, -149.4184513472665 60.15066920787742, -149.41852899454034 60.15065601291586, -149.41851884456992 60.15063672797203, -149.4186766766102 60.1506103380489, -149.41881928369483 60.1508270399177))","OWNED_POLYGON","false","19073314912","false","false","US","349","[""kenaibackcountryadventures.com""]",""
"222-222@3bb-tyn-6zf","","","SAKTown Talk","","","Executive, Legislative, and Other General Government Support","","9211","60.147152","-149.415534","11447 Seward Hwy","Seward","AK","99664","{ ""Mon"": [], ""Tue"": [[""12:00"", ""18:00""]], ""Wed"": [[""12:00"", ""18:00""]], ""Thu"": [[""12:00"", ""18:00""]], ""Fri"": [[""12:00"", ""18:00""]], ""Sat"": [[""9:00"", ""18:00""]], ""Sun"": [] }","","","","","POLYGON","POLYGON ((-149.4151723911551 60.1471459, -149.41519001124212 60.14709042967073, -149.41524114672634 60.147040389163784, -149.41532079211026 60.14700067679262, -149.4154211511488 60.146975179880826, -149.4155324 60.14696639424377, -149.4156436488512 60.146975179880826, -149.4157440078897 60.14700067679262, -149.41582365327363 60.147040389163784, -149.41587478875786 60.14709042967073, -149.41589240884488 60.1471459, -149.41587478875786 60.14720137032926, -149.41582365327363 60.14725141083621, -149.4157440078897 60.147291123207374, -149.4156436488512 60.14731662011917, -149.4155324 60.14732540575623, -149.4154211511488 60.14731662011917, -149.41532079211026 60.147291123207374, -149.41524114672634 60.14725141083621, -149.41519001124212 60.14720137032926, -149.4151723911551 60.1471459))","OWNED_POLYGON","false","19072243997","true","","US","1236","[""sewardpublic.org""]",""
"222-222@3bb-tyn-8y9","","","Mudd Hutt","","","Restaurants and Other Eating Places","Snack and Nonalcoholic Beverage Bars","722515","60.15106","-149.419323","11748 Seward Hwy","Seward","AK","99664","{ ""Mon"": [[""6:30"", ""17:30""]], ""Tue"": [], ""Wed"": [[""6:30"", ""17:30""]], ""Thu"": [[""6:30"", ""17:30""]], ""Fri"": [[""6:30"", ""17:30""]], ""Sat"": [[""7:30"", ""17:30""]], ""Sun"": [[""7:30"", ""17:30""]] }","Coffee Shop","","","","POLYGON","POLYGON ((-149.41947319589303 60.15108339989669, -149.41920765720056 60.151111434353304, -149.41914596639322 60.15096592191382, -149.41939809404062 60.15093655235251, -149.41947319589303 60.15108339989669))","OWNED_POLYGON","false","19072245282","false","false","US","246","[]",""
"222-222@3bb-tyn-dsq","","","Metco","","","Specialized Freight Trucking","Used Household and Office Goods Moving","484210","60.141265","-149.419475","2701 Seward Hwy","Seward","AK","99664","","Movers","","","","POLYGON","POLYGON ((-149.41909625526807 60.1412786, -149.4191138722172 60.141223129620684, -149.41916499859482 60.14117308906858, -149.41924462979492 60.14113337666158, -149.4193449709608 60.141107879726775, -149.41945619999998 60.141099094081795, -149.41956742903918 60.141107879726775, -149.41966777020505 60.14113337666158, -149.41974740140515 60.14117308906858, -149.41979852778277 60.141223129620684, -149.4198161447319 60.1412786, -149.41979852778277 60.141334070379315, -149.41974740140515 60.14138411093142, -149.41966777020505 60.14142382333842, -149.41956742903918 60.141449320273225, -149.41945619999998 60.141458105918204, -149.4193449709608 60.141449320273225, -149.41924462979492 60.14142382333842, -149.41916499859482 60.14138411093142, -149.4191138722172 60.141334070379315, -149.41909625526807 60.1412786))","OWNED_POLYGON","false","19072243151","true","","US","1236","[]",""
"222-222@3bb-tyx-gzf","","","Alaska Sealife Center","","","Museums, Historical Sites, and Similar Institutions","Zoos and Botanical Gardens","712130","60.100235","-149.440741","301 Railway Ave","Seward","AK","99664","{ ""Mon"": [[""9:00"", ""19:00""]], ""Tue"": [[""9:00"", ""19:00""]], ""Wed"": [[""9:00"", ""19:00""]], ""Thu"": [[""9:00"", ""19:00""]], ""Fri"": [[""9:00"", ""19:00""]], ""Sat"": [[""9:00"", ""19:00""]], ""Sun"": [[""9:00"", ""19:00""]] }","Aquariums,Tours","","","","POLYGON","POLYGON ((-149.44039780309896 60.1002272, -149.4404153981297 60.100171729270315, -149.44046646089762 60.10012168840215, -149.44054599302333 60.10008197574431, -149.44064620934816 60.10005647864846, -149.4407573 60.10004769294799, -149.44086839065184 60.10005647864846, -149.44096860697667 60.10008197574431, -149.44104813910238 60.10012168840215, -149.44109920187032 60.100171729270315, -149.44111679690104 60.1002272, -149.44109920187032 60.10028267072968, -149.44104813910238 60.10033271159785, -149.44096860697667 60.10037242425569, -149.44086839065184 60.10039792135154, -149.4407573 60.10040670705201, -149.44064620934816 60.10039792135154, -149.44054599302333 60.10037242425569, -149.44046646089762 60.10033271159785, -149.4404153981297 60.10028267072968, -149.44039780309896 60.1002272))","OWNED_POLYGON","false","","true","","US","1236","[""alaskasealife.org""]","http://www.alaskasealife.org"
"222-222@3bb-tz4-v9f","","","Kayak Adventures Worldwide","","","Consumer Goods Rental","Recreational Goods Rental","532284","60.104134","-149.441842","328 Third Ave","Seward","AK","99664","{ ""Mon"": [[""8:00"", ""19:00""]], ""Tue"": [[""8:00"", ""19:00""]], ""Wed"": [[""8:00"", ""19:00""]], ""Thu"": [[""8:00"", ""19:00""]], ""Fri"": [[""8:00"", ""19:00""]], ""Sat"": [[""8:00"", ""19:00""]], ""Sun"": [[""8:00"", ""19:00""]] }","Rafting","","","","POLYGON","POLYGON ((-149.44183148685704 60.10409765787675, -149.4419227703188 60.10409705392063, -149.44192453297453 60.104163238180654, -149.44176186862077 60.10416431440993, -149.4417602524495 60.1041036303579, -149.4417153644936 60.10410408234393, -149.44171405564128 60.10407179023296, -149.44183039092002 60.10407061882803, -149.44183148685704 60.10409765787675))","OWNED_POLYGON","false","19072243960","false","false","US","88","[""kayakak.com""]","http://www.kayakak.com"
