"placekey","parent_placekey","safegraph_brand_ids","location_name","brands","store_id","top_category","sub_category","naics_code","latitude","longitude","street_address","city","region","postal_code","open_hours","category_tags","opened_on","closed_on","tracking_closed_on","geometry_type","polygon_wkt","polygon_class","enclosed","phone_number","is_synthetic","includes_parking_lot","iso_country_code","wkt_area_sq_meters","domains","website"
"222-222@3bb-tz4-xt9","","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","United States Postal Service (USPS)","1381260","Postal Service","Postal Service","491110","60.106241","-149.43798","507 Madison Ave","Seward","AK","99664","{ ""Mon"": [[""9:30"", ""16:30""]], ""Tue"": [[""9:30"", ""16:30""]], ""Wed"": [[""9:30"", ""16:30""]], ""Thu"": [[""9:30"", ""16:30""]], ""Fri"": [[""9:30"", ""16:30""]], ""Sat"": [[""10:00"", ""14:00""]], ""Sun"": [] }","","","","","POLYGON","POLYGON ((-149.43824935635422 60.10628051497346, -149.43771291455124 60.10629521969781, -149.4377075501332 60.1059556725698, -149.43823058089112 60.10595166214973, -149.43824935635422 60.10628051497346))","OWNED_POLYGON","false","19072243001","false","false","US","1098","[""usps.com""]","https://tools.usps.com/find-location.htm?location=1381260"
"222-222@3bb-tz5-6zf","","","Alaska Shuttle Service","","","Other Transit and Ground Passenger Transportation","All Other Transit and Ground Passenger Transportation","485999","60.101562","-149.444716","210 Brownell St","Seward","AK","99664","{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }","Airport Shuttles","","","","POLYGON","POLYGON ((-149.44434538845456 60.1015715, -149.44436298420203 60.1015160292818, -149.44441404905007 60.101465988423975, -149.44449358441557 60.10142627577436, -149.4445938048228 60.10140077868378, -149.4447049 60.10139199298513, -149.4448159951772 60.10140077868378, -149.44491621558444 60.10142627577436, -149.44499575094994 60.101465988423975, -149.44504681579798 60.1015160292818, -149.44506441154545 60.1015715, -149.44504681579798 60.1016269707182, -149.44499575094994 60.10167701157602, -149.44491621558444 60.10171672422564, -149.4448159951772 60.101742221316215, -149.4447049 60.10175100701487, -149.4445938048228 60.101742221316215, -149.44449358441557 60.10171672422564, -149.44441404905007 60.10167701157602, -149.44436298420203 60.1016269707182, -149.44434538845456 60.1015715))","","false","19079473349","true","","US","1236","[""alaskashuttleservice.com""]",""
"222-222@3bb-tz5-99f","","","Alaska's Point of View Suites","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels","721110","60.10374","-149.4451","318 First Ave","Seward","AK","99664","{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [[""8:00"", ""17:00""]], ""Sun"": [[""8:00"", ""17:00""]] }","Guest Houses","","","","POLYGON","POLYGON ((-149.4447229648918 60.1037342, -149.4447405617925 60.103678729300256, -149.4447916299874 60.1036286884591, -149.4448711705657 60.1035889758227, -149.44497139754148 60.10356347874062, -149.44508249999998 60.103554693044885, -149.4451936024585 60.10356347874062, -149.44529382943426 60.1035889758227, -149.44537337001256 60.1036286884591, -149.44542443820745 60.103678729300256, -149.44544203510816 60.1037342, -149.44542443820745 60.10378967069974, -149.44537337001256 60.1038397115409, -149.44529382943426 60.10387942417729, -149.4451936024585 60.10390492125938, -149.44508249999998 60.10391370695511, -149.44497139754148 60.10390492125938, -149.4448711705657 60.10387942417729, -149.4447916299874 60.1038397115409, -149.4447405617925 60.10378967069974, -149.4447229648918 60.1037342))","OWNED_POLYGON","false","19072242424","true","","US","1236","[""alaskaspointofview.com""]","http://www.alaskaspointofview.com"
"222-222@3bb-v23-rtv","","","Tlc Bodyworks","","","Personal Care Services","Hair, Nail, and Skin Care Services","81211","60.184898","-149.3866","14221 Victor Dr","Seward","AK","99664","","Massage","","","","POLYGON","POLYGON ((-149.38624337819778 60.1848793, -149.38626101849638 60.18482382999248, -149.38631221263685 60.18477378977579, -149.38639194938006 60.18473407763497, -149.38649242353796 60.18470858087107, -149.3866038 60.18469979528497, -149.38671517646202 60.18470858087107, -149.38681565061992 60.18473407763497, -149.38689538736313 60.18477378977579, -149.3869465815036 60.18482382999248, -149.3869642218022 60.1848793, -149.3869465815036 60.184934770007516, -149.38689538736313 60.18498481022421, -149.38681565061992 60.185024522365026, -149.38671517646202 60.18505001912893, -149.3866038 60.18505880471503, -149.38649242353796 60.18505001912893, -149.38639194938006 60.185024522365026, -149.38631221263685 60.18498481022421, -149.38626101849638 60.184934770007516, -149.38624337819778 60.1848793))","OWNED_POLYGON","false","19073622355","true","","US","1236","[]",""
"222-222@3bb-v24-9vf","","","Alaska's Tree House Bed & Breakfast","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels","721110","60.192293","-149.387885","14593 Rainforest Cir","Seward","AK","99664","","Breakfast","","","","POLYGON","POLYGON ((-149.38752339715091 60.192273, -149.38754104141623 60.1922175300555, -149.38759224706857 60.19216748989565, -149.3876720017419 60.19212777779995, -149.3877724984931 60.19210228106501, -149.3878839 60.1920934954889, -149.3879953015069 60.19210228106501, -149.3880957982581 60.19212777779995, -149.38817555293141 60.19216748989565, -149.38822675858376 60.1922175300555, -149.38824440284907 60.192273, -149.38822675858376 60.1923284699445, -149.38817555293141 60.19237851010435, -149.3880957982581 60.19241822220005, -149.3879953015069 60.19244371893499, -149.3878839 60.1924525045111, -149.3877724984931 60.19244371893499, -149.3876720017419 60.19241822220005, -149.38759224706857 60.19237851010435, -149.38754104141623 60.1923284699445, -149.38752339715091 60.192273))","","false","19072243867","true","","US","1236","[]",""
"222-222@3bb-v24-k4v","","","Irvin Pottery","","","Other Miscellaneous Store Retailers","Art Dealers","453920","60.191648","-149.386887","14527 Rainforest Cir","Seward","AK","99664","","","","","","POLYGON","POLYGON ((-149.38653270419982 60.1916301, -149.38655034812015 60.19157463005002, -149.38660155277125 60.19152458988523, -149.38668130588513 60.191484877785605, -149.38678180067134 60.19145938104815, -149.3868932 60.19145059547117, -149.38700459932866 60.19145938104815, -149.38710509411487 60.191484877785605, -149.38718484722875 60.19152458988523, -149.38723605187985 60.19157463005002, -149.38725369580018 60.1916301, -149.38723605187985 60.191685569949975, -149.38718484722875 60.19173561011476, -149.38710509411487 60.19177532221439, -149.38700459932866 60.19180081895185, -149.3868932 60.19180960452883, -149.38678180067134 60.19180081895185, -149.38668130588513 60.19177532221439, -149.38660155277125 60.19173561011476, -149.38655034812015 60.191685569949975, -149.38653270419982 60.1916301))","OWNED_POLYGON","false","19072243534","true","","US","1236","[""irvinpottery.com""]",""
"222-222@3bb-v25-dvz","","","Ink Goes Wild Alas","","","Other Miscellaneous Store Retailers","Art Dealers","453920","60.172406","-149.385585","13160 Cherrywood Ln","Seward","AK","99664","","","","","","POLYGON","POLYGON ((-149.38521331485953 60.1724032, -149.38523094846943 60.17234772988613, -149.38528212319852 60.17229768957349, -149.38536182970782 60.17225797735653, -149.38546226576875 60.172232480543734, -149.3855736 60.1722236949408, -149.38568493423122 60.172232480543734, -149.38578537029215 60.17225797735653, -149.38586507680145 60.17229768957349, -149.38591625153055 60.17234772988613, -149.38593388514045 60.1724032, -149.38591625153055 60.17245867011387, -149.38586507680145 60.172508710426506, -149.38578537029215 60.172548422643466, -149.38568493423122 60.17257391945626, -149.3855736 60.1725827050592, -149.38546226576875 60.17257391945626, -149.38536182970782 60.172548422643466, -149.38528212319852 60.172508710426506, -149.38523094846943 60.17245867011387, -149.38521331485953 60.1724032))","OWNED_POLYGON","false","","true","","US","1236","[]",""
"222-222@3bb-v25-ffz","","","Apartments at 13766 Bruno","","","Lessors of Real Estate","Lessors of Residential Buildings and Dwellings","531110","60.178845","-149.38182","13766 Bruno Rd","Seward","AK","99664","","","","","","POLYGON","POLYGON ((-149.38199859962305 60.17910436979861, -149.38171160325845 60.179136381866066, -149.3815560351356 60.178786915107445, -149.3818644891723 60.17874289803827, -149.38199859962305 60.17910436979861))","OWNED_POLYGON","false","","false","false","US","688","[]",""
"222-222@3bb-v25-grk","","","Seward City Tours","","","Travel Arrangement and Reservation Services","","5615","60.177446","-149.389348","32981 Myrtlewood Cir","Seward","AK","99664","{ ""Mon"": [[""8:00"", ""21:00""]], ""Tue"": [[""8:00"", ""21:00""]], ""Wed"": [[""8:00"", ""21:00""]], ""Thu"": [[""8:00"", ""21:00""]], ""Fri"": [[""8:00"", ""21:00""]], ""Sat"": [[""8:00"", ""21:00""]], ""Sun"": [[""8:00"", ""21:00""]] }","Tours","","","","POLYGON","POLYGON ((-149.3889899596457 60.1774451, -149.38900759595796 60.17738962992912, -149.3890587785296 60.177339589655254, -149.38913849725392 60.17729987746907, -149.38923894870675 60.17727438067603, -149.3893503 60.1772655950799, -149.38946165129323 60.17727438067603, -149.38956210274605 60.17729987746907, -149.38964182147038 60.177339589655254, -149.38969300404202 60.17738962992912, -149.38971064035428 60.1774451, -149.38969300404202 60.17750057007088, -149.38964182147038 60.177550610344746, -149.38956210274605 60.17759032253093, -149.38946165129323 60.17761581932397, -149.3893503 60.1776246049201, -149.38923894870675 60.17761581932397, -149.38913849725392 60.17759032253093, -149.3890587785296 60.177550610344746, -149.38900759595796 60.17750057007088, -149.3889899596457 60.1774451))","OWNED_POLYGON","false","","true","","US","1236","[""sewardcitytours.com""]",""
"222-222@3bb-v26-5xq","","","Clearview Haven Assisted Living Home","","","Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly","Assisted Living Facilities for the Elderly","623312","60.179259","-149.378435","33343 Winterset Cir","Seward","AK","99664","","Elder Care,Skilled Nursing","","","","POLYGON","POLYGON ((-149.37809193997185 60.1792412, -149.37810957724702 60.17918572994443, -149.37816076261313 60.17913568968437, -149.37824048568993 60.17909597750915, -149.3783409426272 60.179070480723155, -149.3784523 60.17906169512945, -149.37856365737278 60.179070480723155, -149.37866411431006 60.17909597750915, -149.37874383738685 60.17913568968437, -149.37879502275297 60.17918572994443, -149.37881266002813 60.1792412, -149.37879502275297 60.17929667005557, -149.37874383738685 60.17934671031563, -149.37866411431006 60.17938642249085, -149.37856365737278 60.179411919276845, -149.3784523 60.17942070487055, -149.3783409426272 60.179411919276845, -149.37824048568993 60.17938642249085, -149.37816076261313 60.17934671031563, -149.37810957724702 60.17929667005557, -149.37809193997185 60.1792412))","OWNED_POLYGON","false","19072245220","true","","US","1236","[]",""
"222-222@3bb-v28-jn5","","","Dr. Jack Hamilton DDS","","","Offices of Dentists","Offices of Dentists","621210","60.161936","-149.413788","12525 Seward Hwy","Seward","AK","99664","","","","","","POLYGON","POLYGON ((-149.4134087295048 60.161928499999995, -149.41342635750357 60.16187302979681, -149.4134775159485 60.161822989403596, -149.4135571970946 60.161783277122694, -149.4136576011961 60.16175778026885, -149.41376889999998 60.16174899465177, -149.41388019880387 60.16175778026885, -149.41398060290535 60.161783277122694, -149.41406028405146 60.161822989403596, -149.4141114424964 60.16187302979681, -149.41412907049516 60.161928499999995, -149.4141114424964 60.16198397020318, -149.41406028405146 60.16203401059639, -149.41398060290535 60.162073722877295, -149.41388019880387 60.16209921973114, -149.41376889999998 60.16210800534822, -149.4136576011961 60.16209921973114, -149.4135571970946 60.162073722877295, -149.4134775159485 60.16203401059639, -149.41342635750357 60.16198397020318, -149.4134087295048 60.161928499999995))","OWNED_POLYGON","false","19072242200","true","","US","1236","[]",""
"222-222@3bb-v2q-3h5","","","Apartments at 33836 Nash Rd","","","Lessors of Real Estate","Lessors of Residential Buildings and Dwellings","531110","60.132085","-149.376934","33836 Nash Rd","Seward","AK","99664","","","","","","POLYGON","POLYGON ((-149.37675291224136 60.13239211518351, -149.37615209742202 60.13200207867604, -149.3770318619789 60.13163875283853, -149.37776142283096 60.13211695292224, -149.37675291224136 60.13239211518351))","SHARED_POLYGON","false","","false","false","US","3853","[]",""
"222-222@3bb-v6f-zfz","","","Spring Creek Correctional Center","","","Justice, Public Order, and Safety Activities","Correctional Institutions","922140","60.09399","-149.336153","3600 Bette Cato Dr","Seward","AK","99664","","","","","","POLYGON","POLYGON ((-149.34057126953132 60.0953165339901, -149.33103418873566 60.09543335876164, -149.33116293476837 60.0945775181246, -149.32931757496613 60.09453472550929, -149.3305719943238 60.09146506242472, -149.3333614916993 60.09060911872616, -149.33735261871345 60.09043792731896, -149.34022794677742 60.09133667228704, -149.34164415313728 60.092620551157125, -149.34293161346443 60.092813128673896, -149.34340368225105 60.0942253294126, -149.34048543884285 60.09435370829718, -149.34057126953132 60.0953165339901))","OWNED_POLYGON","false","19072248200","false","true","US","321579","[]",""
"222-222@3bc-7cc-4sq","","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","United States Postal Service (USPS)","1385626","Postal Service","Postal Service","491110","61.128377","-146.354637","221 Tatitlek St","Valdez","AK","99686","{ ""Mon"": [[""0:01"", ""23:59""]], ""Tue"": [[""0:01"", ""23:59""]], ""Wed"": [[""0:01"", ""23:59""]], ""Thu"": [[""0:01"", ""23:59""]], ""Fri"": [[""0:01"", ""23:59""]], ""Sat"": [[""0:01"", ""23:59""]], ""Sun"": [[""0:01"", ""23:59""]] }","","","","","POLYGON","POLYGON ((-146.35447791391027 61.12826722486334, -146.3550948219837 61.128258159122005, -146.35510689192427 61.128502933224866, -146.3546428697647 61.12850422832091, -146.3546428697647 61.12846796561201, -146.35448730164183 61.128471850904226, -146.35447791391027 61.12826722486334))","OWNED_POLYGON","false","19078354449","false","false","US","862","[""usps.com""]","https://tools.usps.com/find-location.htm?location=1385626"
"222-222@3bc-7cc-wzf","","","Domski","","","Sporting Goods, Hobby, and Musical Instrument Stores","Sporting Goods Stores","451110","61.133672","-146.351432","118 Dadina St","Valdez","AK","99686","{ ""Mon"": [[""13:00"", ""19:00""]], ""Tue"": [[""13:00"", ""19:00""]], ""Wed"": [], ""Thu"": [[""13:00"", ""19:00""]], ""Fri"": [[""13:00"", ""19:00""]], ""Sat"": [[""7:00"", ""12:00""]], ""Sun"": [[""7:00"", ""12:00""]] }","Ski Shop","","","","POLYGON","POLYGON ((-146.35108531913656 61.1336735, -146.3511034860211 61.13361803799951, -146.35115620837348 61.133568005006055, -146.35123832536252 61.13352829859763, -146.3513417988052 61.133502805514155, -146.35145649999998 61.13349402119625, -146.35157120119476 61.133502805514155, -146.35167467463745 61.13352829859763, -146.35175679162649 61.133568005006055, -146.35180951397888 61.13361803799951, -146.3518276808634 61.1336735, -146.35180951397888 61.13372896200049, -146.35175679162649 61.133778994993946, -146.35167467463745 61.13381870140237, -146.35157120119476 61.133844194485846, -146.35145649999998 61.13385297880375, -146.3513417988052 61.133844194485846, -146.35123832536252 61.13381870140237, -146.35115620837348 61.133778994993946, -146.3511034860211 61.13372896200049, -146.35108531913656 61.1336735))","OWNED_POLYGON","false","19072550610","true","","US","1236","[""domskillc.com""]","http://www.domskillc.com"
"222-222@3bc-7cc-x3q","","","Foothills Dentistry","","","Offices of Dentists","Offices of Dentists","621210","61.132712","-146.348759","509 E Bremner St","Valdez","AK","99686","{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }","Periodontists","","","","POLYGON","POLYGON ((-146.34873242779932 61.13266524395065, -146.3487320389725 61.13265050800361, -146.3488135338923 61.132650006801114, -146.3488139275374 61.13266492535385, -146.3489052384541 61.13266456840344, -146.34890644848238 61.13273671471448, -146.3486500249768 61.132737717116704, -146.34864881494852 61.13266557080796, -146.34873242779932 61.13266524395065))","SHARED_POLYGON","false","19078852436","false","false","US","118","[""foothillsdentistryalaska.com""]",""
"222-222@3bc-jyc-wkz","","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","United States Postal Service (USPS)","1359252","Postal Service","Postal Service","491110","60.544999","-145.760645","502 Railroad Ave","Cordova","AK","99574","{ ""Mon"": [[""0:01"", ""23:59""]], ""Tue"": [[""0:01"", ""23:59""]], ""Wed"": [[""0:01"", ""23:59""]], ""Thu"": [[""0:01"", ""23:59""]], ""Fri"": [[""0:01"", ""23:59""]], ""Sat"": [[""0:01"", ""23:59""]], ""Sun"": [[""0:01"", ""23:59""]] }","","","","","POLYGON","POLYGON ((-145.76093464666175 60.54528278127186, -145.7603687005596 60.54528410020931, -145.76036333614158 60.54484489106386, -145.76091855340766 60.544847528974415, -145.76093464666175 60.54528278127186))","OWNED_POLYGON","false","19074243564","false","false","US","1499","[""usps.com""]","https://tools.usps.com/find-location.htm?location=1359252"
